@relation 'converted_data'

@attribute 'count' string
@attribute 'keyword' string

@data
{0 '2',1 'wrap dress'}
{0 '2',1 'womenswimwearbikini'}
{0 '2',1 'womensleevelessdres'}
{0 '2',1 'womens shorts suit'}
{0 '2',1 'womens bralette'}
{0 '2',1 'womens  tank'}
{0 '2',1 'womenmonokini'}
{0 '2',1 'womendressshirt'}
{0 '2',1 'womencasualshort'}
{0 '2',1 'women\'s wear'}
{0 '2',1 'women\'s sleeveless tank'}
{0 '2',1 'women\'s fashion T-shirt'}
{0 '2',1 'women sport suit'}
{0 '2',1 'women shirt Blouse'}
{0 '2',1 'women long dress'}
{0 '2',1 'wedgessandal'}
{0 '2',1 'vocation'}
{0 '2',1 'vneckcamisole'}
{0 '2',1 'vestdresse'}
{0 '2',1 'velvet'}
{0 '2',1 'usb'}
{0 '2',1 'unisex'}
{0 '2',1 'undersafetypant'}
{0 '2',1 'two piece dress'}
{0 '2',1 'tunicdresse'}
{0 '2',1 'tubetopdre'}
{0 '2',1 'tshirtshort'}
{0 '2',1 'triangle bikini swimwear'}
{0 '2',1 'track suit'}
{0 '2',1 'topsforwoman'}
{0 '2',1 'toppant'}
{0 '2',1 'topandblouse'}
{0 '2',1 'tiktoktshirt'}
{0 '2',1 'thinsock'}
{0 '2',1 'the new'}
{0 '2',1 'tes'}
{0 '2',1 'tennisdres'}
{0 '2',1 'tasseldre'}
{0 '2',1 'tankini bathing suits'}
{0 '2',1 'tacksuit'}
{0 '2',1 'swimmingpoolspraypad'}
{0 '2',1 'suspenderdres'}
{0 '2',1 'suspended'}
{0 '2',1 'suntop'}
{0 '2',1 'sun hat'}
{0 '2',1 'summerwomenbikini'}
{0 '2',1 'summertee'}
{0 '2',1 'summersleeveelessdres'}
{0 '2',1 'summershortpant'}
{0 '2',1 'summercocktaildres'}
{0 '2',1 'summerampspring'}
{0 '2',1 'suits for women'}
{0 '2',1 'striped bikini'}
{0 '2',1 'stretchshort'}
{0 '2',1 'stretch'}
{0 '2',1 'streetwear'}
{0 '2',1 'strappytop'}
{0 '2',1 'strangerthing'}
{0 '2',1 'strand'}
{0 '2',1 'springandsummer'}
{0 '2',1 'sportvest'}
{0 '2',1 'sportampoutdoor'}
{0 '2',1 'sport suit women'}
{0 '2',1 'sport pants'}
{0 '2',1 'spaghettistraptshirt'}
{0 '2',1 'soliddresse'}
{0 '2',1 'solidcolorshort'}
{0 '2',1 'soakoffgel'}
{0 '2',1 'slitpant'}
{0 '2',1 'slippers women'}
{0 '2',1 'slippers for women'}
{0 '2',1 'slingdresse'}
{0 '2',1 'slimvest'}
{0 '2',1 'slimfittop'}
{0 '2',1 'slimfitdre'}
{0 '2',1 'slim fit shirt'}
{0 '2',1 'sleevelessvest'}
{0 '2',1 'sleevelessskirt'}
{0 '2',1 'sleeve chiffon'}
{0 '2',1 'silver'}
{0 '2',1 'shouldertop'}
{0 '2',1 'shoulder dress'}
{0 '2',1 'shortsleevesdres'}
{0 '2',1 'shortsleevesdre'}
{0 '2',1 'shortshirt'}
{0 '2',1 'shortsformen'}
{0 '2',1 'shortromper'}
{0 '2',1 'shortpantsforwomen'}
{0 '2',1 'short-sleeved shirt'}
{0 '2',1 'short-s jeans'}
{0 '2',1 'short skirt skorts'}
{0 '2',1 'shirts for men'}
{0 '2',1 'sexyvest'}
{0 '2',1 'sexy underwear'}
{0 '2',1 'sexy skirt'}
{0 '2',1 'sexy shirts for women'}
{0 '2',1 'sexy one piece bathing suit'}
{0 '2',1 'sexy monokini'}
{0 '2',1 'sexy lingerie'}
{0 '2',1 'sexy Women\'s Fashion'}
{0 '2',1 'sandybeach'}
{0 '2',1 'sandalswomen'}
{0 '2',1 'sandalendamen'}
{0 '2',1 'sandalefemme'}
{0 '2',1 'safetypant'}
{0 '2',1 'running skirt'}
{0 '2',1 'ruffle top'}
{0 '2',1 'ruffle crop top'}
{0 '2',1 'roupas femininas'}
{0 '2',1 'roundneckdres'}
{0 '2',1 'rippedshort'}
{0 '2',1 'rippedjean'}
{0 '2',1 'rainbow'}
{0 '2',1 'quickdryingshort'}
{0 '2',1 'punktshirt'}
{0 '2',1 'prom dresses'}
{0 '2',1 'printvest'}
{0 '2',1 'printtank'}
{0 '2',1 'printedletterstop'}
{0 '2',1 'princessprom'}
{0 '2',1 'poloshirtsformen'}
{0 '2',1 'pocketskirt'}
{0 '2',1 'pocketsdres'}
{0 '2',1 'plusszie'}
{0 '2',1 'plussizeshort'}
{0 '2',1 'plussizeclothe'}
{0 '2',1 'plus'}
{0 '2',1 'platformsandal'}
{0 '2',1 'plaincolordres'}
{0 '2',1 'permanent'}
{0 '2',1 'pencil skirt'}
{0 '2',1 'pencil'}
{0 '2',1 'pantsforwomen'}
{0 '2',1 'pantalonfemme'}
{0 '2',1 'pant womens summer'}
{0 '2',1 'padded bikini'}
{0 '2',1 'one shoulder dress'}
{0 '2',1 'one piece bathing suit'}
{0 '2',1 'offtheshoulder'}
{0 '2',1 'offsholuder'}
{0 '2',1 'national'}
{0 '2',1 'moonshirt'}
{0 '2',1 'moonphase'}
{0 '2',1 'minidresselvendre'}
{0 '2',1 'midriff'}
{0 '2',1 'menssummersuit'}
{0 '2',1 'mensfitnessshirt'}
{0 '2',1 'men jeans'}
{0 '2',1 'low cut top'}
{0 '2',1 'loveprinttshirt'}
{0 '2',1 'lotusprinted'}
{0 '2',1 'loosevest'}
{0 '2',1 'loosecasualsweatpant'}
{0 '2',1 'longshirtsforwomen'}
{0 '2',1 'longloosedres'}
{0 '2',1 'long_maxi_dress'}
{0 '2',1 'lipsshirt'}
{0 '2',1 'linentop'}
{0 '2',1 'leggingsamptight'}
{0 '2',1 'ladies skort'}
{0 '2',1 'lacesummer'}
{0 '2',1 'laceshort'}
{0 '2',1 'lacehollow'}
{0 '2',1 'lace vest'}
{0 '2',1 'lace skirts'}
{0 '2',1 'lace dresses'}
{0 '2',1 'korea'}
{0 '2',1 'knot'}
{0 '2',1 'knittop'}
{0 '2',1 'knitted crop top'}
{0 '2',1 'kimonosforwomen'}
{0 '2',1 'kimonocardigan'}
{0 '2',1 'kanyewest'}
{0 '2',1 'kaftandresse'}
{0 '2',1 'kaftandre'}
{0 '2',1 'jumsuitsforwomen'}
{0 '2',1 'jumpsuitsforwomen'}
{0 '2',1 'jumpsuitforwomen'}
{0 '2',1 'jogging suits for women'}
{0 '2',1 'jackdanielsprinttop'}
{0 '2',1 'isolation'}
{0 '2',1 'hotcasual'}
{0 '2',1 'hooded'}
{0 '2',1 'homeampliving'}
{0 '2',1 'holidaydres'}
{0 '2',1 'hightwaistdres'}
{0 '2',1 'henley'}
{0 '2',1 'heightenedshoe'}
{0 '2',1 'heandband'}
{0 '2',1 'headbandsturban'}
{0 '2',1 'head scarf'}
{0 '2',1 'haltershirt'}
{0 '2',1 'graphic tees women'}
{0 '2',1 'gradientcolor'}
{0 '2',1 'girl bra'}
{0 '2',1 'gel nail polish'}
{0 '2',1 'gatherbracketbikini'}
{0 '2',1 'fluffy'}
{0 '2',1 'floralprintdres'}
{0 '2',1 'floral shirt'}
{0 '2',1 'flamingo'}
{0 '2',1 'fitness top'}
{0 '2',1 'fit'}
{0 '2',1 'fish'}
{0 '2',1 'fashionwomencroptop'}
{0 '2',1 'fashionshortsleeve'}
{0 '2',1 'fashionbrandsuit'}
{0 '2',1 'fashion brand'}
{0 '2',1 'falda'}
{0 '2',1 'espadrille'}
{0 '2',1 'ellesse'}
{0 '2',1 'elasticshort'}
{0 '2',1 'elasticlegging'}
{0 '2',1 'easy'}
{0 '2',1 'drawstringpant'}
{0 '2',1 'donnahoney'}
{0 '2',1 'depilatory'}
{0 '2',1 'deepneck'}
{0 '2',1 'dandelionfloralprinted'}
{0 '2',1 'daisy'}
{0 '2',1 'crossstrap'}
{0 '2',1 'croptopsforwomen'}
{0 '2',1 'croptopandshortsset'}
{0 '2',1 'crops'}
{0 '2',1 'cowlbacktshirt'}
{0 '2',1 'cottonmask'}
{0 '2',1 'cottonblendjumpsuit'}
{0 '2',1 'cotton crop top'}
{0 '2',1 'corset top'}
{0 '2',1 'contrastcolor'}
{0 '2',1 'colorblock'}
{0 '2',1 'chiffontshirt'}
{0 '2',1 'chiffonpant'}
{0 '2',1 'cheststrapvest'}
{0 '2',1 'charmingdres'}
{0 '2',1 'casualwomendres'}
{0 '2',1 'casualmensshirt'}
{0 '2',1 'casual wear'}
{0 '2',1 'capri leggings'}
{0 '2',1 'camouflagewomensdre'}
{0 '2',1 'camouflagevest'}
{0 '2',1 'camouflageprint'}
{0 '2',1 'camouflagedre'}
{0 '2',1 'buttontop'}
{0 '2',1 'bralette top'}
{0 '2',1 'boxer shorts'}
{0 '2',1 'bowknot'}
{0 '2',1 'bohostyle'}
{0 '2',1 'bohoheadband'}
{0 '2',1 'bodysuitsjumpsuit'}
{0 '2',1 'blousedre'}
{0 '2',1 'bikiniswimwearcoverup'}
{0 '2',1 'bikinis women'}
{0 '2',1 'beachwearladie'}
{0 '2',1 'beachcoat'}
{0 '2',1 'beachbag'}
{0 '2',1 'beach5pant'}
{0 '2',1 'beach shoes'}
{0 '2',1 'beach bikini'}
{0 '2',1 'basictee'}
{0 '2',1 'basicdressboho'}
{0 '2',1 'bandeau top'}
{0 '2',1 'bandagebra'}
{0 '2',1 'bandage swimsuit'}
{0 '2',1 'ballonnen'}
{0 '2',1 'ball gown'}
{0 '2',1 'baggyshort'}
{0 '2',1 'baggypant'}
{0 '2',1 'baggydres'}
{0 '2',1 'baggy'}
{0 '2',1 'backlessshirt'}
{0 '2',1 'backlessbeachwear'}
{0 '2',1 'backless tank tops'}
{0 '2',1 'athleticpant'}
{0 '2',1 'armpit'}
{0 '2',1 'antislip'}
{0 '2',1 'anklesock'}
{0 '2',1 'animal print'}
{0 '2',1 'Workout tanktop'}
{0 '2',1 'Women Sandals'}
{0 '2',1 'Women Party Dress'}
{0 '2',1 'Winter'}
{0 '2',1 'Wings'}
{0 '2',1 'UV Gel'}
{0 '2',1 'Tub'}
{0 '2',1 'Tennis'}
{0 '2',1 'Tees & T-Shirts'}
{0 '2',1 'SwimwearWomen'}
{0 '2',1 'Sweets'}
{0 '2',1 'Sweaters'}
{0 '2',1 'Sunscreen'}
{0 '2',1 'Street'}
{0 '2',1 'Strapless Top'}
{0 '2',1 'Stitching'}
{0 '2',1 'Spring/Autumn'}
{0 '2',1 'Sportwear women'}
{0 '2',1 'Sports Bra'}
{0 '2',1 'Spike'}
{0 '2',1 'Soft and comfortable'}
{0 '2',1 'Soft'}
{0 '2',1 'Short top'}
{0 '2',1 'Sheath Dress'}
{0 '2',1 'Seats'}
{0 '2',1 'Seamless'}
{0 '2',1 'SEXY CROP TOP'}
{0 '2',1 'Rubber'}
{0 '2',1 'Ring'}
{0 '2',1 'Rhinestone'}
{0 '2',1 'Rechargeable'}
{0 '2',1 'Prom'}
{0 '2',1 'Printed Tee'}
{0 '2',1 'Polyester'}
{0 '2',1 'Polo Shirts'}
{0 '2',1 'Plus Size Swimwear'}
{0 '2',1 'Platform Shoes'}
{0 '2',1 'Picnic'}
{0 '2',1 'Pets'}
{0 '2',1 'Pants & Capris'}
{0 '2',1 'Padded Bra'}
{0 '2',1 'Office'}
{0 '2',1 'Navy'}
{0 '2',1 'Nails'}
{0 '2',1 'Nail Polish'}
{0 '2',1 'Nail Gel'}
{0 '2',1 'Mother'}
{0 '2',1 'Mori Girl'}
{0 '2',1 'Monokini Swimsuits'}
{0 '2',1 'Midi Dresses'}
{0 '2',1 'Medium'}
{0 '2',1 'Maxis'}
{0 '2',1 'Lotus'}
{0 '2',1 'Long sleeve top'}
{0 '2',1 'Lolita'}
{0 '2',1 'Leisure'}
{0 '2',1 'Knickers'}
{0 '2',1 'Jerseys'}
{0 '2',1 'Irregular'}
{0 '2',1 'Hunting'}
{0 '2',1 'Home Decor'}
{0 '2',1 'Hollow'}
{0 '2',1 'High Waisted Bikini'}
{0 '2',1 'Health'}
{0 '2',1 'Handmade'}
{0 '2',1 'Handbags'}
{0 '2',1 'Gym'}
{0 '2',1 'Grunge'}
{0 '2',1 'Golf'}
{0 '2',1 'Girls Clothes'}
{0 '2',1 'Geometric'}
{0 '2',1 'Garden'}
{0 '2',1 'Fox'}
{0 '2',1 'Formal Dress'}
{0 '2',1 'Fitted'}
{0 '2',1 'Fashion Suits'}
{0 '2',1 'Fashion Skirts'}
{0 '2',1 'Face Mask'}
{0 '2',1 'Exercise & Fitness'}
{0 '2',1 'European Style'}
{0 '2',1 'Electric'}
{0 '2',1 'Draped'}
{0 '2',1 'Dogs'}
{0 '2',1 'Dark'}
{0 '2',1 'DIAMOND'}
{0 '2',1 'Cushions'}
{0 '2',1 'Cup'}
{0 '2',1 'Crossbody Bag'}
{0 '2',1 'Couple'}
{0 '2',1 'Cotton Socks'}
{0 '2',1 'Chiffon top'}
{0 '2',1 'Chair'}
{0 '2',1 'Chain'}
{0 '2',1 'Cap'}
{0 '2',1 'Canvas'}
{0 '2',1 'Bracelet'}
{0 '2',1 'Boxer'}
{0 '2',1 'Bodycon Dresses'}
{0 '2',1 'Boat'}
{0 '2',1 'Beach slippers'}
{0 '2',1 'Baseball Cap'}
{0 '2',1 'Baseball'}
{0 '2',1 'Bandage Dresses'}
{0 '2',1 'Baby'}
{0 '2',1 'Animal'}
{0 '2',1 'Active'}
{0 '2',1 'A-line'}
{0 '2',1 '3dprinttshirt'}
{0 '2',1 '3dprint'}
{0 '2',1 '34sleevedres'}
{0 '2',1 '2018fashion'}
{0 '2',1 '#Sport Bra'}
{0 '1',1 'шортымужские'}
{0 '1',1 '漁師の帽子'}
{0 '1',1 'zippertop'}
{0 '1',1 'zippersleevelessvest'}
{0 '1',1 'young'}
{0 '1',1 'yogateeshirt'}
{0 '1',1 'yogasuitset'}
{0 '1',1 'yogaromper'}
{0 '1',1 'yoga2pcsset'}
{0 '1',1 'wrapjumpsuit'}
{0 '1',1 'wovenbag'}
{0 '1',1 'workoutshortsformen'}
{0 '1',1 'workoutampyoga'}
{0 '1',1 'workout top'}
{0 '1',1 'womenunderwearsuit'}
{0 '1',1 'womentee'}
{0 '1',1 'womenswimsit'}
{0 '1',1 'womenswimbottom'}
{0 '1',1 'womensundres'}
{0 '1',1 'womensummerswimwear'}
{0 '1',1 'womensummershort'}
{0 '1',1 'womensummersexybacklessbikini'}
{0 '1',1 'womensummeroutfit'}
{0 '1',1 'womensummerclothe'}
{0 '1',1 'womenstraplessbra'}
{0 '1',1 'womenssexyshort'}
{0 '1',1 'womensporttracksuit'}
{0 '1',1 'womensportset'}
{0 '1',1 'womensportoutfit'}
{0 '1',1 'womensleepwearset'}
{0 '1',1 'womensjumpsuitsromper'}
{0 '1',1 'womenshortpant'}
{0 '1',1 'womenshortpan'}
{0 '1',1 'womenshoessummer'}
{0 '1',1 'womenshirtset'}
{0 '1',1 'womensfahison'}
{0 '1',1 'womensexytanktop'}
{0 '1',1 'womensexybraset'}
{0 '1',1 'womensexy'}
{0 '1',1 'womens workout tank tops'}
{0 '1',1 'womenpalysuit'}
{0 '1',1 'womenpajamasset'}
{0 '1',1 'womenpaddedbra'}
{0 '1',1 'womenoverall'}
{0 '1',1 'womenoutfit'}
{0 '1',1 'womenonepiecebikini'}
{0 '1',1 'womenonepiece'}
{0 '1',1 'womennightwear'}
{0 '1',1 'womenminishort'}
{0 '1',1 'womenhotshirt'}
{0 '1',1 'womengirlsummersexyprintedflowerdres'}
{0 '1',1 'womenfashionsummerbikinisset'}
{0 '1',1 'womenfashionclothing'}
{0 '1',1 'womendre'}
{0 '1',1 'womencottondres'}
{0 '1',1 'womencausaltshirt'}
{0 '1',1 'womenbreathableshoe'}
{0 '1',1 'womenbra'}
{0 '1',1 'womenbohemiandre'}
{0 '1',1 'womenbikiniset'}
{0 '1',1 'womenbeahcwear'}
{0 '1',1 'womenbeachblouse'}
{0 '1',1 'women39sfashion'}
{0 '1',1 'women\'s plus size fashion'}
{0 '1',1 'women yoga pants'}
{0 '1',1 'women track suit'}
{0 '1',1 'women shoes'}
{0 '1',1 'women lingerie'}
{0 '1',1 'women hats'}
{0 '1',1 'women halter tops'}
{0 '1',1 'women fashion dress'}
{0 '1',1 'women chiffon shirt'}
{0 '1',1 'women bags'}
{0 '1',1 'womanskirt'}
{0 '1',1 'womans fashion'}
{0 '1',1 'womanbra'}
{0 '1',1 'woman vest'}
{0 '1',1 'woman top'}
{0 '1',1 'wolfprint'}
{0 '1',1 'windowscreennet'}
{0 '1',1 'widetrouser'}
{0 '1',1 'widelegjumpsuit'}
{0 '1',1 'wideleg'}
{0 '1',1 'white crop top'}
{0 '1',1 'whiskeytshirt'}
{0 '1',1 'wedgesshoeswomen'}
{0 '1',1 'wear'}
{0 '1',1 'wavering'}
{0 '1',1 'waveprintdres'}
{0 '1',1 'wavepointdres'}
{0 '1',1 'waterpump'}
{0 '1',1 'waterproofphonebag'}
{0 '1',1 'waterproofmat'}
{0 '1',1 'waterproof bag'}
{0 '1',1 'wateringchildrenstoy'}
{0 '1',1 'waterfloatingpump'}
{0 '1',1 'waterballoon'}
{0 '1',1 'waterball'}
{0 '1',1 'waistcollection'}
{0 '1',1 'vtie'}
{0 '1',1 'vorhang'}
{0 '1',1 'vneckjumpsuit'}
{0 '1',1 'virsorcap'}
{0 '1',1 'vintagetop'}
{0 '1',1 'vintagestylewomendressfloralhighwaisteveningpartyslimlongswingdres'}
{0 '1',1 'vintagejean'}
{0 '1',1 'vintagedresswomen'}
{0 '1',1 'vestidoscasualesdemujer'}
{0 '1',1 'vestidoderenda'}
{0 '1',1 'vestido de festa'}
{0 '1',1 'vestforwomen'}
{0 '1',1 'vestforwoman'}
{0 '1',1 'vestcasual'}
{0 '1',1 'velvetshort'}
{0 '1',1 'vacationdre'}
{0 '1',1 'v neck crop top'}
{0 '1',1 'uvlampgel'}
{0 '1',1 'uv'}
{0 '1',1 'usbfan'}
{0 '1',1 'usbcooler'}
{0 '1',1 'unisex clothing'}
{0 '1',1 'uniquetop'}
{0 '1',1 'uniquedres'}
{0 '1',1 'unicorn'}
{0 '1',1 'uneck'}
{0 '1',1 'underarmshield'}
{0 '1',1 'underarm'}
{0 '1',1 'ultrathinbra'}
{0 '1',1 'turtleneck'}
{0 '1',1 'turbanheadband'}
{0 '1',1 'tunicvesttopswomen'}
{0 '1',1 'tunictopforwomen'}
{0 '1',1 'tunics women'}
{0 '1',1 'tubecroptop'}
{0 '1',1 'tshirtsuit'}
{0 '1',1 'tshirtsfemme'}
{0 '1',1 'tshirts for women'}
{0 '1',1 'tshirtcotton'}
{0 '1',1 'tshirtcasualtop'}
{0 '1',1 'tshirtandshortsset'}
{0 '1',1 'trouserswomen'}
{0 '1',1 'trousersformen'}
{0 '1',1 'trousersampshort'}
{0 '1',1 'triangle bikini'}
{0 '1',1 'trendshirtwomen'}
{0 '1',1 'travelfan'}
{0 '1',1 'transparentdres'}
{0 '1',1 'transparentblouse'}
{0 '1',1 'trainingquickdryshort'}
{0 '1',1 'trainingcorset'}
{0 '1',1 'tracksuitshort'}
{0 '1',1 'tracksuitpant'}
{0 '1',1 'trackpant'}
{0 '1',1 'totemprint'}
{0 '1',1 'topsforwomenkleiderdamen'}
{0 '1',1 'topsforfemale'}
{0 '1',1 'tops shirts for women'}
{0 '1',1 'topbra'}
{0 '1',1 'topbasegel'}
{0 '1',1 'toolsgadget'}
{0 '1',1 'tinyring'}
{0 '1',1 'tigershirt'}
{0 '1',1 'tigerking'}
{0 '1',1 'tiedyetshirt'}
{0 '1',1 'tiedyetank'}
{0 '1',1 'tiedyeshirt'}
{0 '1',1 'tiedyeprinted'}
{0 '1',1 'theweststyle'}
{0 '1',1 'thevampirediarie'}
{0 '1',1 'tennisskirt'}
{0 '1',1 'teevest'}
{0 '1',1 'teetop'}
{0 '1',1 'teen'}
{0 '1',1 'tearresistant'}
{0 '1',1 'tattoo'}
{0 '1',1 'tasselslingerie'}
{0 '1',1 'tasselbikini'}
{0 '1',1 'taschendamen'}
{0 '1',1 'tanktopshirt'}
{0 '1',1 'tanktopdres'}
{0 '1',1 'tanktopcroptop'}
{0 '1',1 'tanksforwomen'}
{0 '1',1 'tankdres'}
{0 '1',1 'tankdre'}
{0 '1',1 'tankcroptop'}
{0 '1',1 'takeashower'}
{0 '1',1 'taeeltshirt'}
{0 '1',1 't shirt printing'}
{0 '1',1 'swimwearwomen2017'}
{0 '1',1 'swimwear for men'}
{0 '1',1 'swimwea'}
{0 '1',1 'swimsuitscoverup'}
{0 '1',1 'swimsuits for girls'}
{0 '1',1 'swimsuit model'}
{0 '1',1 'swimring'}
{0 '1',1 'swimmingshort'}
{0 '1',1 'swimmingpoolseat'}
{0 '1',1 'swimmingmask'}
{0 '1',1 'swimminglap'}
{0 '1',1 'swimmingfacemask'}
{0 '1',1 'swimmingchair'}
{0 '1',1 'swimmingbottom'}
{0 '1',1 'swimming suit for women'}
{0 '1',1 'swimming pool supplies'}
{0 '1',1 'swim trunk'}
{0 '1',1 'swim dress'}
{0 '1',1 'sweetheartdres'}
{0 '1',1 'sweatvest'}
{0 '1',1 'sweatpad'}
{0 '1',1 'sweatguardpad'}
{0 '1',1 'sweatersformen'}
{0 '1',1 'sweatabsorbent'}
{0 '1',1 'sweat pants'}
{0 '1',1 'suzuki'}
{0 '1',1 'surferring'}
{0 '1',1 'sunshine'}
{0 '1',1 'sunshadecover'}
{0 '1',1 'sunmmertshirt'}
{0 '1',1 'sunhatfordog'}
{0 '1',1 'sunflowerprint'}
{0 '1',1 'sunflowerbathingsuit'}
{0 '1',1 'sun protection swimwear'}
{0 '1',1 'sumnerblouseforwomen'}
{0 '1',1 'summerwomentop'}
{0 '1',1 'summerwomenladysleevelesschiffonflouncinglongsundressdressmaxidressloosedlongdres'}
{0 '1',1 'summertrouser'}
{0 '1',1 'summertool'}
{0 '1',1 'summertank'}
{0 '1',1 'summerswimwear'}
{0 '1',1 'summerswimsuit'}
{0 '1',1 'summerswimming'}
{0 '1',1 'summersunsuit'}
{0 '1',1 'summersuit'}
{0 '1',1 'summersportsvest'}
{0 '1',1 'summersportssuit'}
{0 '1',1 'summersock'}
{0 '1',1 'summershortswomen'}
{0 '1',1 'summershortsleevetshirt'}
{0 '1',1 'summershortsforwomen'}
{0 '1',1 'summershortsformen'}
{0 '1',1 'summershirtsformen'}
{0 '1',1 'summeroutfit'}
{0 '1',1 'summeronepiece'}
{0 '1',1 'summermensclothing'}
{0 '1',1 'summerlongskirt'}
{0 '1',1 'summerjean'}
{0 '1',1 'summerfashiontshirt'}
{0 '1',1 'summerfashiontop'}
{0 '1',1 'summerfamilyentertainmenttoy'}
{0 '1',1 'summerdresseswomen'}
{0 '1',1 'summercasualfashionsexywomenprintbikinissetpushupbraswimsuitmidwaist'}
{0 '1',1 'summercasualdres'}
{0 '1',1 'summercap'}
{0 '1',1 'summerblouse'}
{0 '1',1 'summerbikiniset'}
{0 '1',1 'summerbeachbikini'}
{0 '1',1 'summerbeach'}
{0 '1',1 'summerbathingsuit'}
{0 '1',1 'summerathleisure'}
{0 '1',1 'summer clothes for women'}
{0 '1',1 'studentsstyle'}
{0 '1',1 'stripetee'}
{0 '1',1 'stripedres'}
{0 '1',1 'stretchytop'}
{0 '1',1 'strawbag'}
{0 '1',1 'strappydres'}
{0 '1',1 'strappydre'}
{0 '1',1 'strappy bikini'}
{0 '1',1 'strappingshort'}
{0 '1',1 'straplesstanktop'}
{0 '1',1 'straplessblouse'}
{0 '1',1 'strapless bikini'}
{0 '1',1 'strapdres'}
{0 '1',1 'straighttrouser'}
{0 '1',1 'statementring'}
{0 '1',1 'squarescarf'}
{0 '1',1 'springskirt'}
{0 '1',1 'springdre'}
{0 '1',1 'sprayer'}
{0 '1',1 'sportytankini'}
{0 '1',1 'sporty'}
{0 '1',1 'sportwear'}
{0 '1',1 'sporttshirt'}
{0 '1',1 'sportstop'}
{0 '1',1 'sportspantie'}
{0 '1',1 'sportset'}
{0 '1',1 'sportsampoutdoor'}
{0 '1',1 'sportfan'}
{0 '1',1 'sportcroptop'}
{0 '1',1 'sportampentertainment'}
{0 '1',1 'sport2set'}
{0 '1',1 'sport tank top'}
{0 '1',1 'sport legging'}
{0 '1',1 'sport bra top'}
{0 '1',1 'splitswimsuit'}
{0 '1',1 'splitdresse'}
{0 '1',1 'splitbohodre'}
{0 '1',1 'splicedre'}
{0 '1',1 'splice'}
{0 '1',1 'spaghettistrapsdres'}
{0 '1',1 'spaghettistrapjumpsuit'}
{0 '1',1 'spaghetti strap tank top'}
{0 '1',1 'southafrican'}
{0 '1',1 'solidtop'}
{0 '1',1 'solidtank'}
{0 '1',1 'soliddre'}
{0 '1',1 'solidcolortop'}
{0 '1',1 'solidcolorshortpant'}
{0 '1',1 'solidcolordresse'}
{0 '1',1 'solidcolordres'}
{0 '1',1 'solidcolordre'}
{0 '1',1 'solidblouse'}
{0 '1',1 'solidbiker'}
{0 '1',1 'solarfountain'}
{0 '1',1 'softcomfortable'}
{0 '1',1 'socksamptight'}
{0 '1',1 'socksamphosiery'}
{0 '1',1 'smallvest'}
{0 '1',1 'slitdres'}
{0 '1',1 'slingshirt'}
{0 '1',1 'slimwaistshaperbelt'}
{0 '1',1 'slimvestmen'}
{0 '1',1 'slimtank'}
{0 '1',1 'slimmingwaistbelt'}
{0 '1',1 'slimmingshapewear'}
{0 '1',1 'slimmingcream'}
{0 '1',1 'slimfitpant'}
{0 '1',1 'slim long'}
{0 '1',1 'slideslipper'}
{0 '1',1 'slidesforwomen'}
{0 '1',1 'sleveles'}
{0 '1',1 'sleeves'}
{0 '1',1 'sleevelessvestmen'}
{0 '1',1 'sleevelesstopsforwomen'}
{0 '1',1 'sleevelesstanktop'}
{0 '1',1 'sleevelessshort'}
{0 '1',1 'sleevehead'}
{0 '1',1 'sleepweardre'}
{0 '1',1 'slashneckjumpsuit'}
{0 '1',1 'slashneck'}
{0 '1',1 'slack'}
{0 '1',1 'skulltanktopforwomen'}
{0 '1',1 'skullshirtwomen'}
{0 '1',1 'skullshirt'}
{0 '1',1 'skullprinted'}
{0 '1',1 'skort'}
{0 '1',1 'sknnyshort'}
{0 '1',1 'skirtsuit'}
{0 '1',1 'skinnylegging'}
{0 '1',1 'skinny jeans'}
{0 '1',1 'skinny'}
{0 '1',1 'skinngjean'}
{0 '1',1 'skewshoulder'}
{0 '1',1 'skewneck'}
{0 '1',1 'skeletonvest'}
{0 '1',1 'skeletonprint'}
{0 '1',1 'skateboardsticker'}
{0 '1',1 'sizesxxxl'}
{0 '1',1 'singleshoulder'}
{0 '1',1 'simplebib'}
{0 '1',1 'simfit'}
{0 '1',1 'silmfit'}
{0 '1',1 'silksock'}
{0 '1',1 'silk dress'}
{0 '1',1 'siliconedivingmask'}
{0 '1',1 'sidesplitshirt'}
{0 '1',1 'siamesetrouser'}
{0 '1',1 'showerroom'}
{0 '1',1 'shoulderdrape'}
{0 '1',1 'shorttshirt'}
{0 '1',1 'shortsock'}
{0 '1',1 'shortsleevestee'}
{0 '1',1 'shortsleevee'}
{0 '1',1 'shortskirtsdresse'}
{0 '1',1 'shortsetsforwomen'}
{0 '1',1 'shortsection'}
{0 '1',1 'shortsdresse'}
{0 '1',1 'shorts feminino'}
{0 '1',1 'shortjean'}
{0 '1',1 'short sleeved tshirt'}
{0 '1',1 'shirtdressforwomen'}
{0 '1',1 'shirtandshort'}
{0 '1',1 'sheertop'}
{0 '1',1 'sheerlacebra'}
{0 '1',1 'sheer mesh top'}
{0 '1',1 'shaping'}
{0 '1',1 'sexywomendre'}
{0 '1',1 'sexytshrit'}
{0 '1',1 'sexythongswimwear'}
{0 '1',1 'sexyswimwearset'}
{0 '1',1 'sexysummerdres'}
{0 '1',1 'sexyshortdresse'}
